city,population
Spišský Štvrtok,2578
Chtelnica,2572
Hamuliakovo,2568
Kopčany,2555
Soľ,2554
Zázrivá,2552
Moravské Lieskové,2539
Očová,2534
Solčany,2515
Ladce,2514
Plavecký Štvrtok,2513
Budmerice,2506
Dolné Vestenice,2495
Spišské Bystré,2479
Sačurov,2478
Klin,2475
Hviezdoslavov,2472
Heľpa,2471
Batizovce,2457
Divina,2441
Moravany nad Váhom,2440
Široké,2436
Dolná Krupá,2435
Zlatná na Ostrove,2428
Svodín,2412
Soblahov,2408
Papradno,2407
Liptovská Teplička,2405
Stakčín,2393
Lokca,2389
Bučany,2386
Svinia,2384
Zavar,2383
Važec,2382
Lehota,2382
Diakovce,2381
Kysucký Lieskovec,2378
Biely Kostol,2376
Oslany,2372
Boleráz,2370
Drienovec,2366
Častá,2363
Zubrohlava,2354
Jaslovské Bohunice,2337
Jesenské,2335
Ostrovany,2320
Zemianska Olča,2317
Pruské,2310
Nový Život,2306
Brodské,2303
Stráne pod Tatrami,2289
Klokočov,2287
Limbach,2287
Marianka,2284
Krížová Ves,2281
Streda nad Bodrogom,2277
Šúrovce,2277
Kamenica nad Cirochou,2275
Madunice,2274
Letanovce,2265
Matúškovo,2262
Pliešovce,2260
Jablonica,2258
Spišská Teplica,2253
Udiča,2247
Drienov,2238
Hrnčiarovce nad Parnou,2237
Kráľová pri Senci,2233
Drietoma,2233
Zálesie,2228
Kalinovo,2226
Plešivec,2225
Vysoká pri Morave,2224
Zbehy,2222
Východná,2222
Trhová Hradská,2211
Suchá nad Parnou,2202
Spišská Stará Ves,2202
Výčapy-Opatovce,2197
Nitrianske Hrnčiarovce,2196
Kapušany,2187
Zborov nad Bystricou,2187
Sihelné,2182
Závadka nad Hronom,2174
Seňa,2170
Branč,2168
Fintice,2167
Majcichov,2163
Banka,2158
Brusno,2153
Kotešová,2151
Moravský Svätý Ján,2150
Rimavská Seč,2148
Holice,2144
Pohorelá,2141
Vojčice,2139
Zemné,2136
Selce,2125
Gbelce,2123
Horná Potôň,2114
Čečejovce,2113
Švedlár,2112
Spišské Tomášovce,2110
Hôrka,2108
Nedožery-Brezany,2105
Veľké Ripňany,2104
Váhovce,2097
Rišňovce,2096
Trhovište,2090
Kozárovce,2082
Hodruša-Hámre,2076
Jelenec,2075
Kalná nad Hronom,2073
Lysá pod Makytou,2065
Jarok,2065
Lisková,2061
Vinodol,2061
Cinobaňa,2055
Kendice,2055
Bzince pod Javorinou,2051
Turie,2050
Láb,2048
Pružina,2037
Divín,2030
Badín,2028
Dvorníky,2026
Rabčice,2024
Dolné Saliby,2020
Víťaz,2017
Maňa,2004
Lemešany,1995
Valaská Belá,1994
Veľké Uherce,1990
Toporec,1988
Prašice,1986
Bobrovec,1984
Imeľ,1982
Korňa,1981
Petrovany,1976
Bojná,1967
Parchovany,1966
Vinné,1965
Sady nad Torysou,1964
Šuňava,1957
Gemerská Poloma,1945
Dlhé Pole,1938
Lovinobaňa,1935
Horné Orešany,1934
Kameničná,1934
Olešná,1929
Ďurkov,1926
Strekov,1926
Nitrianske Rudno,1925
Ochodnica,1922
Oravská Jasenica,1922
Stráňavy,1916
Podolie,1914
Zuberec,1913
Bobrov,1913
Mužla,1912
Dolný Štál,1908
Banské,1906
Dlhé nad Cirochou,1893
Golianovo,1892
Leles,1889
Veľký Lapáš,1887
Hlinné,1887
Omšenie,1885
Slovenská Ves,1879
Lietavská Lúčka,1878
Margecany,1876
Horná Kráľová,1866
Radošina,1862
Dobrá Niva,1862
Žitavany,1861
Dohňany,1859
Vikartovce,1856
Kamenná Poruba,1856
Záhorská Ves,1854
Jaklovce,1843
Harichovce,1842
Báhoň,1833
Kráľová nad Váhom,1828
Blatné,1828
Kolárovice,1824
Pusté Úľany,1824
Geča,1822
Mníšek nad Hnilcom,1816
Rudina,1814
Nacina Ves,1808
Veľké Lovce,1803
Kamenica,1802
Slavošovce,1797
Zemplínska Teplica,1796
Slovinky,1794
Žihárec,1794
Vinica,1794
Košúty,1793
Župčany,1793
Dechtice,1790
Diviacka Nová Ves,1790
Plaveč,1786
Bystričany,1785
Vydrany,1783
Jacovce,1782
Iža,1781
Radošovce,1778
Pukanec,1777
Kuchyňa,1769
Kostolište,1768
Diviaky nad Nitricou,1761
Tesárske Mlyňany,1761
Valča,1760
Kláštor pod Znievom,1757
Sekule,1755
Šintava,1754
Čereňany,1754
Kriváň,1752
Malý Šariš,1746
Križovany nad Dudváhom,1745
Kvetoslavov,1744
Michaľany,1744
Kamenec pod Vtáčnikom,1744
Spišský Hrhov,1743
Krušovce,1741
Žabokreky nad Nitrou,1738
Tomášikovo,1736
Jakubov,1736
Lazany,1735
Zemianske Kostoľany,1733
Nemecká,1730
Ludanice,1723
Sebedražie,1715
Štvrtok na Ostrove,1714
Sľažany,1712
Makov,1710
Zákopčie,1710
Orechová Potôň,1705
Kuzmice,1704
Lietavská Svinná-Babkov,1702
Malá Ida,1701
Pohronská Polhora,1700
Alekšince,1699
Chocholná-Velčice,1695
Vidiná,1694
Brezovica,1690
Studienka,1685
Červeník,1685
Horný Vadičov,1679
Sološnica,1671
Beladice,1666
Halič,1662
Ružindol,1659
Hermanovce,1658
Nová Lesná,1657
Vinohrady nad Váhom,1657
Reca,1656
Jahodná,1654
Dolná Streda,1654
Dolný Hričov,1651
Lúčky,1651
Melčice-Lieskové,1651
Konská,1650
Dulovce,1648
Jánovce,1647
Čierny Brod,1645
Nižný Hrabovec,1640
Častkovce,1639
Plevník-Drienové,1639
Štefanov,1638
Plavnica,1637
Borský Svätý Jur,1631
Kočovce,1631
Bidovce,1629
Breza,1627
Veľký Cetín,1626
Ražňany,1625
Ožďany,1624
Andovce,1623
Žaškov,1622
Modrý Kameň,1620
Vavrečka,1620
Horná Štubňa,1618
Liptovská Osada,1617
Petrovice,1614
Krasňany,1614
Svederník,1614
Klátova Nová Ves,1611
Voderady,1609
Šarovce,1606
Malcov,1604
Chlebnice,1604
Radzovce,1602
Domaniža,1601
Lietava,1601
Svinná,1591
Veľké Blahovo,1589
Švábovce,1589
Hraň,1586
Trakovice,1581
Drahňov,1578
Mostová,1578
Dubník,1576
Komjatná,1576
Lovčica-Trubín,1574
Ruskov,1572
Bešeňov,1569
Nižná Myšľa,1568
Ihľany,1564
Malženice,1560
Torysa,1559
Kajal,1554
Kováčová,1552
Opatovce nad Nitrou,1552
Kolíňany,1551
Kamenná Poruba,1548
Vígľaš,1546
Liptovské Revúce,1536
Bolešov,1535
Hodejov,1534
Vrbov,1534
